Case_Type,Cases,Difference,Date,Combined_Key,Country_Region,Province_State,Admin2,iso2,iso3,FIPS,Lat,Long,Population_Count,People_Total_Tested_Count,People_Hospitalized_Cumulative_Count,Data_Source,Prep_Flow_Runtime
Confirmed,15,0,4/17/2020,Saint Lucia,Saint Lucia,N/A,,LC,LCA,,13.9094,-60.9789,183629,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,1,0,2/8/2020,Nepal,Nepal,N/A,,NP,NPL,,28.1667,84.25,29136808,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,2,0,3/21/2020,United Arab Emirates,United Arab Emirates,N/A,,AE,ARE,,23.424076,53.847818,9890400,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,4/14/2020,Sierra Leone,Sierra Leone,N/A,,SL,SLE,,8.460555,-11.779889,7976985,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/9/2020,Brazil,Brazil,N/A,,BR,BRA,,-14.235,-51.9253,212559409,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/25/2020,Liechtenstein,Liechtenstein,N/A,,LI,LIE,,47.14,9.55,38137,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,6,0,4/15/2020,"Hainan, China",China,Hainan,,CN,CHN,,19.1959,109.7453,9340000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,4933,412,4/14/2020,United Arab Emirates,United Arab Emirates,N/A,,AE,ARE,,23.424076,53.847818,9890400,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/21/2020,Pakistan,Pakistan,N/A,,PK,PAK,,30.3753,69.3451,220892331,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/20/2020,"Anguilla, United Kingdom",United Kingdom,Anguilla,,AI,AIA,,18.2206,-63.0686,15002,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,18,2,4/8/2020,Equatorial Guinea,Equatorial Guinea,N/A,,GQ,GNQ,,1.6508,10.2679,1402985,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,35,0,2/19/2020,Thailand,Thailand,N/A,,TH,THA,,15.870032,100.992541,69799978,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,1273,1,3/11/2020,"Henan, China",China,Henan,,CN,CHN,,33.882,113.614,96050000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,3,1,3/26/2020,Azerbaijan,Azerbaijan,N/A,,AZ,AZE,,40.1431,47.5769,10139175,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/12/2020,Bahrain,Bahrain,N/A,,BH,BHR,,26.0275,50.55,1701583,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,8,1,4/12/2020,Kenya,Kenya,N/A,,KE,KEN,,-0.0236,37.9062,53771300,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,18,0,4/19/2020,"New Caledonia, France",France,New Caledonia,,NC,NCL,,-20.904305,165.618042,285491,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/23/2020,Cabo Verde,Cabo Verde,N/A,,CV,CPV,,16.5388,-23.0418,555988,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,2767,160,4/10/2020,Germany,Germany,N/A,,DE,DEU,,51.165691,10.451526,83783945,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/23/2020,Malta,Malta,N/A,,MT,MLT,,35.9375,14.3754,441539,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/26/2020,Saint Lucia,Saint Lucia,N/A,,LC,LCA,,13.9094,-60.9789,183629,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,144,21,4/2/2020,Montenegro,Montenegro,N/A,,ME,MNE,,42.708678,19.37439,628062,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/28/2020,Congo (Brazzaville),Congo (Brazzaville),N/A,,CG,COG,,-4.2634,15.2832,5518092,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/11/2020,Dominica,Dominica,N/A,,DM,DMA,,15.415,-61.371,71991,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,178,2,3/26/2020,"Yunnan, China",China,Yunnan,,CN,CHN,,24.974,101.487,48300000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/6/2020,Austria,Austria,N/A,,AT,AUT,,47.5162,14.5501,9006400,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,1,0,3/25/2020,Sudan,Sudan,N/A,,SD,SDN,,12.8628,30.2176,43849269,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,4,1,2/15/2020,"Beijing, China",China,Beijing,,CN,CHN,,40.1824,116.4142,21540000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,3,0,4/3/2020,Paraguay,Paraguay,N/A,,PY,PRY,,-23.4425,-58.4438,7132530,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/4/2020,"Channel Islands, United Kingdom",United Kingdom,Channel Islands,,GB,GBR,,49.3723,-2.3644,170499,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/14/2020,Afghanistan,Afghanistan,N/A,,AF,AFG,,33.93911,67.709953,38928341,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,5,0,4/3/2020,"Turks and Caicos Islands, United Kingdom",United Kingdom,Turks and Caicos Islands,,TC,TCA,,21.694,-71.7979,38718,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,6,0,3/2/2020,"Hebei, China",China,Hebei,,CN,CHN,,39.549,116.1306,75560000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/9/2020,Angola,Angola,N/A,,AO,AGO,,-11.2027,17.8739,32866268,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,4/4/2020,Yemen,Yemen,N/A,,YE,YEM,,15.552727,48.516388,29825968,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/23/2020,"New Caledonia, France",France,New Caledonia,,NC,NCL,,-20.904305,165.618042,285491,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,7,0,4/7/2020,Holy See,Holy See,N/A,,VA,VAT,,41.9029,12.4534,809,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,1,0,3/31/2020,Brunei,Brunei,N/A,,BN,BRN,,4.5353,114.7277,437483,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,7,0,4/16/2020,"Shanghai, China",China,Shanghai,,CN,CHN,,31.202,121.4491,24240000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,1,0,3/22/2020,Congo (Kinshasa),Congo (Kinshasa),N/A,,CD,COD,,-4.322447,15.307045,89561404,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,8,0,4/13/2020,"Beijing, China",China,Beijing,,CN,CHN,,40.1824,116.4142,21540000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,3,0,4/15/2020,"Sichuan, China",China,Sichuan,,CN,CHN,,30.6171,102.7103,83410000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,4/14/2020,Equatorial Guinea,Equatorial Guinea,N/A,,GQ,GNQ,,1.6508,10.2679,1402985,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/3/2020,Poland,Poland,N/A,,PL,POL,,51.9194,19.1451,37846605,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/24/2020,"French Guiana, France",France,French Guiana,,GF,GUF,,4,-53,298682,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,21,9,4/10/2020,Somalia,Somalia,N/A,,SO,SOM,,5.152149,46.199616,15893219,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,76,0,4/9/2020,"Xinjiang, China",China,Xinjiang,,CN,CHN,,41.1129,85.2401,24870000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/26/2020,"New Brunswick, Canada",Canada,New Brunswick,,CA,CAN,,46.5653,-66.4619,779993,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,3/20/2020,Botswana,Botswana,N/A,,BW,BWA,,-22.3285,24.6849,2351625,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/17/2020,"St Martin, France",France,St Martin,,MF,MAF,,18.0708,-63.0501,38659,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/5/2020,"Tibet, China",China,Tibet,,CN,CHN,,31.6927,88.0924,3440000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,5,0,4/10/2020,"Northwest Territories, Canada",Canada,Northwest Territories,,CA,CAN,,64.8255,-124.8457,44904,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,1,0,4/7/2020,New Zealand,New Zealand,N/A,,NZ,NZL,,-40.9006,174.886,4822233,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,576,0,3/8/2020,"Chongqing, China",China,Chongqing,,CN,CHN,,30.0572,107.874,31020000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,1215,0,3/13/2020,"Zhejiang, China",China,Zhejiang,,CN,CHN,,29.1832,120.0934,57370000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/10/2020,Barbados,Barbados,N/A,,BB,BRB,,13.1939,-59.5432,287371,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/29/2020,"Newfoundland and Labrador, Canada",Canada,Newfoundland and Labrador,,CA,CAN,,53.1355,-57.6604,521365,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/28/2020,Djibouti,Djibouti,N/A,,DJ,DJI,,11.8251,42.5903,988002,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/29/2020,"Ningxia, China",China,Ningxia,,CN,CHN,,37.2692,106.1655,6880000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,540,1,3/17/2020,"Sichuan, China",China,Sichuan,,CN,CHN,,30.6171,102.7103,83410000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/12/2020,Kyrgyzstan,Kyrgyzstan,N/A,,KG,KGZ,,41.20438,74.766098,6524191,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/5/2020,Sri Lanka,Sri Lanka,N/A,,LK,LKA,,7.873054,80.771797,21413250,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,5,4,3/25/2020,Syria,Syria,N/A,,SY,SYR,,34.802075,38.996815,17500657,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,18,0,3/22/2020,"Qinghai, China",China,Qinghai,,CN,CHN,,35.7452,95.9956,6030000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/30/2020,Maldives,Maldives,N/A,,MV,MDV,,3.2028,73.2207,540542,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/15/2020,Georgia,Georgia,N/A,,GE,GEO,,42.3154,43.3569,3989175,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,3,0,3/27/2020,Congo (Kinshasa),Congo (Kinshasa),N/A,,CD,COD,,-4.322447,15.307045,89561404,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/20/2020,Timor-Leste,Timor-Leste,N/A,,TL,TLS,,-8.874217,125.727539,1318442,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/17/2020,Netherlands,Netherlands,N/A,,NL,NLD,,52.1326,5.2913,17134873,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,3,1,4/4/2020,El Salvador,El Salvador,N/A,,SV,SLV,,13.7942,-88.8965,6486201,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/10/2020,Kazakhstan,Kazakhstan,N/A,,KZ,KAZ,,48.0196,66.9237,18776707,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/11/2020,Mauritius,Mauritius,N/A,,MU,MUS,,-20.348404,57.552152,1271767,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,327,0,4/6/2020,"Hebei, China",China,Hebei,,CN,CHN,,39.549,116.1306,75560000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,12,6,3/3/2020,Oman,Oman,N/A,,OM,OMN,,21.512583,55.923255,5106622,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/15/2020,Rwanda,Rwanda,N/A,,RW,RWA,,-1.9403,29.8739,12952209,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/3/2020,Bahamas,Bahamas,N/A,,BS,BHS,,25.025885,-78.035889,393248,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/20/2020,Austria,Austria,N/A,,AT,AUT,,47.5162,14.5501,9006400,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,3,0,4/20/2020,Monaco,Monaco,N/A,,MC,MCO,,43.7333,7.4167,39244,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,3,1,3/20/2020,Morocco,Morocco,N/A,,MA,MAR,,31.7917,-7.0926,36910558,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/4/2020,El Salvador,El Salvador,N/A,,SV,SLV,,13.7942,-88.8965,6486201,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,20,17,2/21/2020,Italy,Italy,N/A,,IT,ITA,,41.87194,12.56738,60461828,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/16/2020,"New Brunswick, Canada",Canada,New Brunswick,,CA,CAN,,46.5653,-66.4619,779993,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,4/5/2020,Vietnam,Vietnam,N/A,,VN,VNM,,14.058324,108.277199,97338583,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,914,63,2/7/2020,"Henan, China",China,Henan,,CN,CHN,,33.882,113.614,96050000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,1907,26,4/20/2020,Bahrain,Bahrain,N/A,,BH,BHR,,26.0275,50.55,1701583,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,36,1,4/19/2020,Andorra,Andorra,N/A,,AD,AND,,42.5063,1.5218,77265,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/21/2020,Albania,Albania,N/A,,AL,ALB,,41.1533,20.1683,2877800,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/23/2020,Ethiopia,Ethiopia,N/A,,ET,ETH,,9.145,40.4897,114963583,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/31/2020,Congo (Brazzaville),Congo (Brazzaville),N/A,,CG,COG,,-4.2634,15.2832,5518092,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,2,0,3/30/2020,"Yunnan, China",China,Yunnan,,CN,CHN,,24.974,101.487,48300000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
